username,date,rawContent,replyCount,retweetCount,likeCount,hashtags,mentionUsers,viewCount
SinInfluencer,2023-10-11 04:24:03+00:00,"@JLIllescas @traficogt Es un estupido que asuma su responsabilidad como Presidente y escuche al pueblo que aborde lo que le
pedimos un NO o un SI o un va pues pedire a la CC xxx al Congreso yyy pero no tiene ni los huevos de dirigirse o mencionar sobre las renuncias",0,0,1,,"JLIllescas, traficogt",33.0
DBTOSHO,2023-10-11 04:19:51+00:00,"@traficogt En todo esto el único que se anima y pierde es el pueblo, perdón pero somos los que les damos de comer a ellos, y congreso basura jueces corruptos, religiosos en poder nada 🤷‍♂️",0,0,0,,traficogt,11.0
IoVittor,2023-10-11 04:18:11+00:00,@traficogt https://t.co/miwgyMCaua,0,0,0,,traficogt,9.0
traficogt,2023-10-11 04:17:25+00:00,Otro imbécil.  Andate a dar una vuelta por 4 caminos y mira cómo se gestó el movimiento.,36,17,116,,,23024.0
AlvaroArzuE,2023-10-10 17:19:07+00:00,"Mensaje al Presidente Electo @BArevalodeLeon 

#BloqueosSemilla https://t.co/bBcOShI1JE",4336,618,2273,BloqueosSemilla,BArevalodeLeon,674328.0
DBTOSHO,2023-10-11 04:17:03+00:00,"@traficogt Los dos pueden y deben hacer algo, el que está en el puesto sacar a los corruptos si tiene agallas pues hombre no se sabe, y el electo ya que asuma liderazgo y no se victimice. O solo nos muestra cómo será ?",1,0,0,,traficogt,16.0
lucky68vidal,2023-10-11 04:16:04+00:00,@traficogt @DrGiammattei Tremendo descaro,0,0,0,,"traficogt, DrGiammattei",21.0
alcer1967,2023-10-11 04:14:13+00:00,@traficogt Como lo pensé la 🦙no entendió el mensaje de la OEA... Triste nuestro caso q st señorito... Digo señorcito le falten 2 dedos d frente...,0,0,0,,traficogt,22.0
traficogt,2023-10-11 04:14:08+00:00,Dejen los desechos en la CC.  Total son zopilotes.,0,6,19,,,6938.0
Factor4_GT,2023-10-11 03:54:39+00:00,"#URGENTE | La Gremial de Recolectores de Desechos Sólidos Urbanos de Guatemala, advierte al @GuatemalaGob, @MPguatemala, @OJGuatemala,@CongresoGuate @CC_Guatemala Ministerios y aeropuerto con NO recoger los desechos de dichas instituciones. en apoyo al #ParoNacionalIndefinido https://t.co/A4geKIW0rZ",44,644,1826,"URGENTE, ParoNacionalIndefinido","GuatemalaGob, MPguatemala, OJGuatemala, CongresoGuate, CC_Guatemala",74603.0
traficogt,2023-10-11 04:12:16+00:00,"El @DrGiammattei creo que en realidad quiere que lo derroque el pueblo para romper el orden constitucional!   Pero no le daremos gusto.  No dejaremos que el congreso ponga un monigote.

Va a tener que llegar al acto de la toma de posesión y será insultado y vituperado por todos.",1,9,39,,DrGiammattei,4677.0
guatevisible,2023-10-11 04:06:51+00:00,"📌 El presidente @DrGiammattei envía una carta abierta al presidente electo @BArevalodeLeon, ante la situación nacional.
⤵️ https://t.co/5tLisjX2JJ",1,1,3,,"DrGiammattei, BArevalodeLeon",5376.0
JeremyGD95,2023-10-11 04:12:06+00:00,"@traficogt @DrGiammattei Así como un ladrón y un asesino niegan su crimen.  De verdad, preocupa la persona detrás de @traficogt.  Parece que el tráfico le dejo fritas las neuronas.  Aunque hay que aceptarlo, un desequilibrado psicólogico reconoce a otro, así que en eso, al menos, no se equivoca",0,0,0,,"traficogt, DrGiammattei, traficogt",14.0
traficogt,2023-10-11 04:08:37+00:00,"Que tal atender las demandas de la población???  Solo para variar.

Otro iluminado!   A este ni que haga paradillas déjenlo pasar!",2,5,12,,,3916.0
guatevisible,2023-10-11 03:22:08+00:00,"#𝗖𝗢𝗠𝗨𝗡𝗜𝗖𝗔𝗗𝗢

El excandidato presidencial @GiovanniReyesO1 emite varios planteamientos por la situación nacional.

Considera que debe prevalecer el respeto a la ley, la convivencia pacífica, el fortalecimiento democrático y la funcionalidad institucional.
⤵️ https://t.co/VEiBpgiKmB",1,0,6,𝗖𝗢𝗠𝗨𝗡𝗜𝗖𝗔𝗗𝗢,GiovanniReyesO1,5017.0
ACordonOficial,2023-10-11 04:08:09+00:00,"@traficogt Es un payaso y no nos da risa. 
1HDP+ https://t.co/XYzdFyDaDr",0,0,0,,traficogt,29.0
pwichini,2023-10-11 04:07:03+00:00,@traficogt Que yo sepa la culpa no es de Arevalo es de Giammatey por no honrar al pueblo que lo eligio presidente le ha fallado le ha robado ha dejado que le roben y le esta engañando,0,0,0,,traficogt,13.0
Antulioavm,2023-10-11 04:06:49+00:00,"@traficogt La desesperación, falta de ideas y cinismo para continuar con su show, hace que ahora intenta evadir su responsabilidad, diciendo que es otra persona el responsable de lo que pasa en el país.",0,0,0,,traficogt,22.0
traficogt,2023-10-11 04:04:30+00:00,La carta nuevamente hace un lado a los líderes del movimiento.  Deja por un lado las razones de las protestas.  Cree que no le debe explicaciones al pueblo y no se digna dialogar con ellos.  Está totalmente fuera de realidad.,9,28,75,,,6833.0
noficciongt,2023-10-11 03:58:05+00:00,"#Ahora 🚨 |  El presidente Alejandro Giammattei escribe una carta abierta dirigida a @BArevalodeLeon haciéndolo co responsable de las manifestaciones en contra de la Fiscal General.

La carta invita a buscar diálogo, buscar una solución, a pesar de que Giammattei es el responsable de toda acción gubernamental hasta el próximo 14 de enero. 

https://t.co/hlkUigi758",318,262,1057,Ahora,BArevalodeLeon,184071.0
futbolfanaticog,2023-10-11 04:02:56+00:00,@_guisii @mmendoza_GT @traficogt Esa puta es un terrorista comunista infeliz sus hijas hay que hacerlas comer mierda de esa maldecida tirale duroooio no esta sola,1,0,1,,"_guisii, mmendoza_GT, traficogt",38.0
traficogt,2023-10-11 04:00:28+00:00,El @DrGiammattei es un mentiroso patológico y muy probablemente tenga algún otro desequilibrio psicólogo.,1,10,25,,DrGiammattei,4207.0
cmendeza,2023-10-11 02:10:51+00:00,"El presidente Alejandro Giammattei mintió: no hay camión de oxígeno robado en Huehuetenango. Eso dicen los manifestantes y confirma delegado de @PDHgt en el mismo hospital de los huehueteco. No hay reporte ni de desabastecimiento ni de robo o secuestro. 
https://t.co/tgjpwM8hP7",63,817,1565,,PDHgt,74124.0
